chart_rank,track_name,artist,daily_streams,country,scrape_date
179,"Ishq Wala Love (w/ Salim Merchant, Neeti Mohan, Shekhar Ravjiani)",Vishal-Shekhar,0,India,2026-02-17
180,Shayad (w/ Arijit Singh),Pritam,0,India,2026-02-17
181,Starboy (w/ Daft Punk),The Weeknd,0,India,2026-02-17
182,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"") (w/ Raghav Chaitanya, Varun Jain, Indraneel)",Sachin-Jigar,0,India,2026-02-17
183,Aashiq Tera (w/ Altamash Faridi),Sohail Sen,0,India,2026-02-17
184,"AZUL (w/ Gurjit Gill, Lavish Dhiman)",Guru Randhawa,0,India,2026-02-17
185,"Madam Ji (w/ Rekha Goswami, Amar Karnawal)",Masoom Sharma,0,India,2026-02-17
186,Status (w/ Anny Kathwar),Khasa Aala Chahar,0,India,2026-02-17
187,"Ranjha (From ""Shershaah"") (w/ B Praak, Romy, Anvita Dutt)",Jasleen Royal,0,India,2026-02-17
188,Sun Saathiya (w/ Priya Saraiya),Divya Kumar,0,India,2026-02-17
189,4 Aadmi (w/ Mr. Maxxx),Sumit Parta,0,India,2026-02-17
190,Perfect,Ed Sheeran,0,India,2026-02-17
191,Nazm Nazm,Arko,0,India,2026-02-17
192,Cheques,Shubh,0,India,2026-02-17
193,I Think They Call This Love - Cover,Matthew Ifield,0,India,2026-02-17
194,"O Saathi (w/ Arko, Tiger Shroff, Disha Patani, Randeep Hooda, Manoj Bajpayee, Prateik Babbar)",Atif Aslam,0,India,2026-02-17
195,"O Rangrez (w/ Shreya Ghoshal, Javed Bashir, Yusuf Mohammed, Vajid Ali)",Shankar-Ehsaan-Loy,0,India,2026-02-17
196,"Bulleya (w/ Papon, Irshad Kamil)",Vishal-Shekhar,0,India,2026-02-17
197,Dil Nu (w/ Shinda Kahlon),AP Dhillon,0,India,2026-02-17
198,Kaise Ho (w/ Shiva Choudhary),Bintu Pabra,0,India,2026-02-17
199,Ajab Si,KK,0,India,2026-02-17
200,"Deva Deva (w/ Arijit Singh, Amitabh Bhattacharya, Jonita Gandhi)",Pritam,0,India,2026-02-17
